Cell line,Length,Width,Nuc Length,Nuc Width,NF,Ruffliness,Protrusions,Nuc Text,Cell Text
hs578T,0.351901443,0.202210089,0.167361855,0.137923328,0.204041481,0.681044901,0.132176278,0.691920203,0.703728802
T74D,0.298209105,0.192730059,0.17200513,0.143326873,0.568618152,0.485920143,0.113881676,0.593801091,0.581449514
MDA-MB-157,0.369350813,0.223761938,0.15685617,0.134612556,0.250316042,0.714332973,0.095487635,0.723857733,0.699195263
HCC1143,0.326216443,0.193542821,0.166838602,0.137062909,0.462061419,0.59473702,0.132472431,0.667904293,0.664374997
AU565,0.226506475,0.162940186,0.149649406,0.130262755,0.527133484,0.525046716,0.029811913,0.639727287,0.71888925
ZR75.1,0.214303093,0.152069214,0.149000193,0.125089076,0.498252169,0.505663652,0.046019575,0.577008827,0.699542229
CAMA1,0.226638676,0.162740317,0.155875402,0.129484805,0.33476132,0.617191777,0.036674422,0.625019077,0.793777503
BT474,0.219743287,0.154225467,0.160796124,0.129371743,0.498906782,0.491347957,0.057005319,0.532246116,0.68559828
MDA-MB-231,0.254161598,0.162828588,0.149340379,0.127050996,0.202063605,0.67809063,0.052218753,0.728778749,0.819306945
SKBR3,0.327562784,0.208968167,0.164969828,0.14032302,0.277357591,0.671887096,0.048755298,0.659080331,0.710521405
JIMT1,0.26963476,0.178003815,0.154395601,0.137111306,0.503094169,0.56953894,0.101725382,0.65742984,0.703538559
MCF7,0.26899542,0.170996528,0.159453623,0.135189372,0.636461629,0.495573917,0.078558488,0.607931425,0.63441687
MDA-MB-453,0.169895786,0.143071092,0.1442075,0.125816719,0.462941411,0.481757038,0.007473825,0.574154884,0.769990565
HCC1954,0.289661833,0.186959952,0.174192936,0.13949594,0.517326099,0.474736046,0.125498793,0.559343045,0.609637925
HCC70,0.23612497,0.156423594,0.151447632,0.130394884,0.583909199,0.464548543,0.066056425,0.626880127,0.644303743
SUM149,0.305832812,0.20459107,0.159067862,0.137378454,0.192804345,0.70788247,0.03333024,0.698926204,0.733335428
SUM159,0.261819959,0.157724607,0.15811976,0.128892065,0.666059308,0.520225842,0.072567859,0.686714856,0.650055023
MCF10A,0.239748747,0.170283875,0.143783913,0.127236531,0.394953321,0.555463646,0.077541272,0.686201434,0.680508582
MCF12A,0.296125838,0.188123531,0.163033032,0.136647775,0.324147118,0.620125353,0.11232424,0.627252614,0.70907855
